rank,country,trade_value_usd_thousand,quantity_kg,priority_tier,target_importers_per_country,current_verified_leads,next_action
1,Indonesia,747845.41,555908000,Tier 1,20,20,Immediate outreach and contact enrichment
2,United States,313676.23,125458000,Tier 1,20,20,Immediate outreach and contact enrichment
3,Malaysia,313207.90,232925000,Tier 1,20,21,"Target exceeded; Ken Hin now validates Malaysia's strongest contact-ready peeled/fresh-garlic FCL route with official importer/wholesaler/trader language, direct garlic products and Volza fresh-garlic shipment evidence, while Keongco remains the clean official fresh-whole outreach route and Khai Yo, Yong Ga, Sinogun and Poo Trading remain paid-customs ownership targets"
4,Brazil,205716.63,145568000,Tier 1,20,21,"Target exceeded; Brazil now has official-source Partrade garlic-import route, Natari paid-customs/FCL ownership target, Biofer/Alho Brasil/Agrolaf/Massy/Malibru/Naju official outreach routes and additional processor/distributor coverage; continue paid customs to reconcile HS 070320 beneficial importer ownership"
5,European Union,192939.56,84608800,Tier 1,20,20,"Target met; Garlic Solutions is now normalized as European Union rank 1 because it has direct garlic specialization, more than four million cloves supplied weekly across Europe, supermarkets/meal-box/catering-wholesaler channels, peeled/unpeeled/bulk/organic formats and public contact details, while Greenyard, Ardo, Eosta, METRO, Transgourmet and Bonduelle remain broad EU channel-validation routes"
6,Germany,130625.01,41566300,Tier 1,20,21,"Target exceeded; JERSA now validates Germany's strongest official fresh-garlic import/wholesale route, while Global Food Trading, I.Schroeder and Farmers Land remain paid-customs reconciliation targets for public buyer-table shipment evidence"
7,Netherlands,102613.43,25119200,Tier 1,20,20,"Target met; Garlic Solutions is now Netherlands rank 1 because it has direct garlic specialization, more than four million cloves supplied weekly, supermarket/meal-box/catering-wholesaler channels, peeled/unpeeled/bulk/organic formats and public contact details; Heuschen & Schrouff remains rank 2 as a distinct large Western Europe Asian-food import-distribution route with H&S Fresh garlic"
8,United Kingdom,99615.20,44186800,Tier 1,20,27,"Target exceeded; Kay Bee remains the strongest public fresh-garlic FCL route, while Louis Konyn, Alancia and NFB add official fresh-produce/garlic importer routes and Alizas, Lajawab, Dealicious and Indifresh add processed-garlic or green-garlic shipment-backed challenger paths; use paid customs to separate HS 070320 fresh whole garlic from paste, pickle, prepared and small green-garlic flows"
9,France,91338.30,23626300,Tier 1,20,24,"Target exceeded; Allium Distribution remains the top official fresh-garlic specialist, while T&T Foods, GFT France, Primeale France and Midi Caraibes Martinique now add shipment-backed importer/distribution or fresh-produce challenger routes; paid customs should separate HS 070320 beneficial ownership from Asian grocery, fresh-produce, overseas-France and domestic supplier flows before quoting FCL volume"
10,Italy,88463.46,44563700,Tier 1,20,23,"Target exceeded; Fresh Tropical remains Italy's strongest contact-ready public garlic buyer/import-distribution route, while Raja Whole Sale, Plafoni Andrea and Haryana Vegetables now add shipment-backed ethnic grocery and fresh-allium challenger paths; GarlIT, Palmieri, Duoccio, Global Trading and India Trading remain format-specific validation routes before FCL quoting"
11,Canada,82583.89,28184900,Tier 1,20,21,"Target exceeded; Fresh Taste now validates Canada's strongest public peeled/fresh-garlic FCL route with Trademo peeled-garlic rank 1, company import-scale evidence and HS 070320 supplier examples, while CDS Foods, Canada Garlic Importing, Nood Garlic, Aoda, Super Asia, Van-Whole, Lian Teng, Super Three and Brecon remain format/channel validation targets"
12,Colombia,73159.96,31837500,Tier 1,20,23,"Target exceeded; Global Garlic now ranks as Colombia's top fresh whole-garlic official importer/distributor route with garlic importation, distribution, national reach and Cartagena logistics evidence, while Ajopel remains the best peeled refrigerated route and Importadora La Gran Cosecha, Distriajos El Rey and Distributions The King remain paid-customs fresh whole shipment targets"
13,Japan,68596.78,21153300,Tier 1,20,22,"Target exceeded; Sojitz remains Japan's top scale platform for garlic-buyer validation, while Spice Home Japan and Sartaj add contact-ready shipment-backed ethnic/import-distribution challengers; paid customs should separate HS 070320 fresh whole garlic ownership from dried, spice, grocery and frozen/IQF channels before quoting FCL volume"
14,Saudi Arabia,65674.37,27313300,Tier 1,20,26,"Target exceeded; Lulu Saudi remains the strongest public garlic buyer signal and official retail/import route, while Al Bazil and Fazco add processed-garlic and foodstuff-importer paid-customs challenger routes alongside retailer, distributor and produce-wholesale rows; use paid customs or direct phone/form escalation to identify the true produce procurement desk before FCL quoting"
15,Pakistan,63478.77,44129600,Tier 1,20,22,"Target exceeded; Mehr remains Pakistan's cleanest contact-ready official fresh-garlic route with Chinese garlic import/supply and public contact details, while AAG Impex, Ayaan Enterprises, Chairman and Sons, Crown International Trading Establishment and Amin Impex FZE are public shipment-backed HS 070320 paid-customs targets before FCL quoting"
16,Mexico,60704.65,30861600,Tier 1,20,22,"Target exceeded; PROAGSA now ranks as Mexico's top import-buyer/FCL route with Volza garlic-fresh shipment leadership and an official garlic product PDF, while Productos Agricolas Valle Alto, Los Rancheros, Proveedora Majo, Operadora de Ciudad Juarez, SDMHC, Cosechero and Comercial Toyo remain paid-customs or channel-validation targets"
17,Sri Lanka,59717.61,43197100,Tier 1,20,24,"Target exceeded; Devi Trading remains Sri Lanka's strongest contact-ready official garlic importer with garlic importation, agro-food sourcing, owned sales outlets and public Colombo contacts, while F S Traders, Global Trading & Company, Ranjitha Foods, Midcity Marketing and Lal & Sons are public shipment-count paid-customs targets before FCL quoting"
18,Morocco,55387.25,29680600,Tier 1,20,23,"Target exceeded; Graineo remains Morocco's strongest contact-ready official garlic importer/distributor with bulk and packaged garlic import, inspection, packaging and delivery evidence, while CIC/TradeDataPro sample HS 070320 records identify Garland/Garland Maroc, Amghar Agro, BHZ Trading and Baharate Elallali as fresh/chilled garlic shipment names requiring paid-customs ownership validation"
19,Australia,48201.33,17706800,Tier 1,20,25,"Target exceeded; Indya remains Australia's strongest contact-ready processed-garlic/import-distribution route, while Chetak adds public HS 070320 fresh/chilled garlic evidence and Reliable Exim, Parsram, Mala and Usha add high-volume processed-garlic or South Asian grocery-import challenger paths; paid customs must separate fresh-garlic ownership from garlic powder, pickle, naan, snack and seasoning keyword noise"
